product_id,product_category_name,product_weight_g,product_length_cm,product_height_cm,product_width_cm
cT3PvVNqyIpQ,bed_bath_table,5350.0,40.0,16.0,50.0
hoBYqNvOyd5V,housewares,30000.0,60.0,60.0,60.0
2oRZ0O0Cvxg1,toys,2150.0,42.0,10.0,22.0
UjLE7WsWfgrO,construction_tools_construction,450.0,16.0,14.0,11.0
nvbYOXncMsv0,toys,600.0,37.0,12.0,31.0
5WcLgWtO04vH,toys,400.0,20.0,2.0,15.0
jyqvHPkDKFDV,toys,567.0,26.0,12.0,26.0
4BAZNq7FQZOV,toys,500.0,23.0,45.0,32.0
G16XPtJuiBOe,toys,150.0,16.0,4.0,13.0
tfJojxEnA32p,toys,2200.0,40.0,15.0,30.0
5hqQbR7p5r2D,toys,1825.0,43.0,28.0,28.0
97fSQlZJl4P8,toys,900.0,30.0,8.0,23.0
mwlDII1pL31s,toys,6650.0,23.0,19.0,29.0
N9wgqW59QGza,toys,250.0,22.0,12.0,16.0
n3QjhUa3JbkT,toys,500.0,17.0,17.0,16.0
fJOMyLSpholI,toys,200.0,20.0,2.0,15.0
DMB6KqQisnZE,toys,400.0,20.0,5.0,21.0
0vbEvli2JYJu,toys,1383.0,50.0,10.0,40.0
xl7fxh09W8xU,toys,4105.0,67.0,10.0,67.0
bumRSmIPLuYa,toys,14400.0,30.0,50.0,32.0
Hh61P9XhdxJT,furniture_decor,2850.0,40.0,5.0,44.0
jcZ2MOqKsGsh,toys,1590.0,38.0,20.0,23.0
OEoHcaKHbdiB,toys,10700.0,100.0,10.0,30.0
Ggd3U51peXoq,electronics,175.0,22.0,11.0,16.0
etUc3o0rjL6e,toys,2220.0,20.0,30.0,30.0
lFGT2p3CDtxY,toys,200.0,22.0,3.0,15.0
daiqbsoofbQ7,toys,150.0,17.0,8.0,12.0
dAz11YkQkoue,health_beauty,100.0,20.0,15.0,15.0
KocIrz6J906g,toys,200.0,16.0,6.0,20.0
xj8TsBOfCz2Q,toys,329.0,20.0,16.0,18.0
LEtlZnZPgiXx,toys,50.0,16.0,5.0,11.0
dtkkSAYxncfA,toys,150.0,20.0,10.0,20.0
WLCpnwy0jsjj,furniture_decor,1150.0,35.0,23.0,35.0
qjquOwfUstem,toys,200.0,16.0,2.0,11.0
gdZxFB7RkmeM,toys,400.0,16.0,24.0,16.0
RO8Eso0VLlkB,bed_bath_table,550.0,18.0,10.0,18.0
GvBzGCvvIC2D,toys,1000.0,53.0,8.0,18.0
BuMA9g0RCLlr,toys,450.0,16.0,7.0,11.0
K9inDFpRP1Y5,toys,588.0,19.0,14.0,17.0
sZPDopwjwXU1,auto,2450.0,30.0,30.0,30.0
PNxV7rsy2fgg,toys,150.0,16.0,5.0,20.0
XtWT6gLIlj7Q,toys,10700.0,40.0,40.0,40.0
Mb037GbMfoRI,toys,800.0,100.0,5.0,20.0
LP9yzvAzxDXy,toys,750.0,32.0,9.0,24.0
KDNXKv9s2evT,home_appliances,500.0,30.0,12.0,17.0
axLBYi1XjP6J,toys,200.0,41.0,2.0,29.0
YWxNxMu4wOKG,toys,1050.0,36.0,24.0,22.0
bdZMcl4443hh,toys,200.0,16.0,13.0,14.0
Djdj2b2qMgNy,toys,150.0,18.0,2.0,16.0
4VIws8ixtz0J,toys,200.0,25.0,7.0,16.0
63xWgMAWpCUv,audio,250.0,16.0,5.0,11.0
5zjlm4wGGKnH,toys,1067.0,32.0,13.0,22.0
ZXaWnDtFtm16,toys,1400.0,16.0,7.0,12.0
iqxjLw041Ngo,toys,476.0,21.0,15.0,17.0
77YHWauoWSee,toys,850.0,20.0,44.0,39.0
u7VrCV0J3rFD,toys,700.0,45.0,8.0,25.0
i8rOWNVCU8SG,toys,200.0,17.0,11.0,15.0
s284eb92Zw1i,toys,1500.0,40.0,25.0,20.0
GrFFq2mwLHY2,toys,200.0,16.0,8.0,11.0
CdlzSJX6L7SM,toys,1050.0,100.0,5.0,11.0
M6dHMMDQkzl9,toys,7650.0,44.0,15.0,34.0
HsY2B64ToEjd,toys,50.0,16.0,16.0,12.0
8EMcxO7AFhVP,toys,180.0,17.0,10.0,13.0
vTrdy4RV0PS5,toys,2200.0,48.0,25.0,25.0
Fn43rroPPaVv,housewares,9950.0,31.0,61.0,31.0
IiPypLNFQJ7z,toys,50.0,42.0,9.0,25.0
HhAtKukEU7VT,toys,1867.0,36.0,6.0,36.0
KnGbtqqEcmat,toys,300.0,40.0,10.0,25.0
wEXYeIBMtNpz,toys,1700.0,65.0,6.0,50.0
eJ0WKujR01gm,toys,950.0,105.0,10.0,11.0
JyBhiUYADnbo,toys,250.0,16.0,7.0,11.0
lpU3XJCPa54J,toys,523.0,20.0,16.0,17.0
k1G4RHt3R7Nk,toys,950.0,20.0,35.0,20.0
hXJzBtpOKuuU,toys,4650.0,37.0,20.0,34.0
Vb1H62ttvRIQ,toys,5400.0,32.0,25.0,14.0
1zUdSj6NFG6K,auto,450.0,20.0,15.0,15.0
5OJOlHuoPBnC,toys,1000.0,70.0,10.0,15.0
Joe8cEWyRSL5,consoles_games,900.0,22.0,7.0,18.0
vkx2x9k5aIEp,toys,6350.0,38.0,30.0,28.0
PdQSW0L6zcA8,toys,150.0,16.0,12.0,15.0
t3Yt7rB0Siv5,construction_tools_construction,450.0,16.0,10.0,11.0
6qDx55OCUjhU,toys,750.0,34.0,18.0,44.0
Mc3HVfMW32MH,toys,214.0,18.0,15.0,15.0
h2L3kgHs7Aaa,toys,700.0,32.0,15.0,21.0
dshaRMcCMDlF,consoles_games,100.0,20.0,3.0,15.0
kYkawOSYkfjo,watches_gifts,375.0,21.0,15.0,16.0
IygrTULmkPjL,toys,350.0,21.0,12.0,14.0
Y6z2ccr6ILTJ,toys,3300.0,60.0,18.0,50.0
CIzjmmwLZi9E,toys,441.0,24.0,20.0,17.0
0GII09WWgwUY,toys,200.0,51.0,15.0,15.0
UGsLZX3s5mEt,construction_tools_construction,1700.0,16.0,11.0,11.0
W0BmO3Zth0WP,toys,650.0,24.0,10.0,20.0
m2BXGAfmaOtK,toys,450.0,20.0,10.0,15.0
HheG19aBYVwJ,watches_gifts,200.0,16.0,2.0,11.0
oszo5WkcF9hR,toys,6450.0,35.0,25.0,27.0
d0gLt5qG6suy,toys,1200.0,32.0,28.0,13.0
ocSuycYd5FzD,sports_leisure,250.0,16.0,6.0,20.0
UtRbLGZqWe6T,furniture_decor,11850.0,74.0,8.0,74.0
4lnnpEh9Lojy,toys,1275.0,27.0,26.0,27.0
1Shu25hw8jmU,sports_leisure,150.0,16.0,16.0,11.0
G16XPtJuiBOe,toys,150.0,16.0,4.0,13.0
qtlBf0tnYibE,toys,240.0,16.0,2.0,11.0
2m67LSn6k958,toys,250.0,40.0,4.0,30.0
gkFvRSioMfLT,toys,237.0,16.0,16.0,16.0
qAJdy2rvA6Nv,toys,1050.0,22.0,9.0,12.0
6iped3gcNaVR,bed_bath_table,400.0,19.0,13.0,15.0
vBG3fdRC0U7J,toys,2200.0,30.0,30.0,40.0
6gc28NXmxjiC,toys,363.0,16.0,4.0,11.0
Sd2c5zg8xeYS,toys,300.0,20.0,6.0,26.0
TznsJjXJH6cK,toys,1700.0,25.0,25.0,25.0
aj4kbcxNEnZj,toys,4000.0,30.0,35.0,30.0
yC8GTlBDlTbh,toys,550.0,40.0,7.0,50.0
x3MYuCDmKXil,toys,575.0,23.0,17.0,20.0
PNlm9wyElFNa,toys,2150.0,45.0,15.0,35.0
U12L66pFn1Cd,toys,1050.0,38.0,10.0,38.0
T02sruZBYwTh,toys,250.0,40.0,4.0,30.0
tB2oGrkUn3T5,toys,1100.0,24.0,4.0,24.0
nTdYWC9EsMzL,stationery,250.0,20.0,20.0,20.0
SLTlrWtcYt1m,toys,1750.0,37.0,22.0,40.0
GvBzGCvvIC2D,toys,1000.0,53.0,8.0,18.0
tyfmRC7KLE75,toys,5650.0,40.0,20.0,40.0
frPceaQ1oVol,toys,100.0,80.0,10.0,60.0
SGzn0iArTwMr,garden_tools,9100.0,42.0,13.0,39.0
9Zkcb7CHJ7oF,toys,2800.0,50.0,10.0,40.0
QQh3add5yA42,toys,250.0,25.0,7.0,14.0
Y3eayqO8aOXQ,toys,850.0,38.0,10.0,38.0
Frot5FLjBR6q,toys,175.0,20.0,20.0,20.0
Q4YJxJB0FmME,furniture_living_room,2700.0,47.0,6.0,47.0
nleYDnRljyRR,toys,800.0,23.0,3.0,16.0
ZahOFsDsu0qC,toys,2700.0,87.0,10.0,30.0
a4eRSJHIpAKf,toys,300.0,40.0,4.0,30.0
xczz8pBAGbiX,sports_leisure,300.0,19.0,2.0,12.0
yNiC4LvaTd1R,toys,153.0,14.0,14.0,12.0
sDiRdnCZMwRY,toys,550.0,27.0,10.0,15.0
Hqi3PlXungqO,toys,2400.0,40.0,20.0,20.0
nPKBktJfW1Fl,toys,150.0,16.0,2.0,11.0
PwoiOjyJfSJK,bed_bath_table,400.0,20.0,2.0,15.0
EsjZXaqqL5SG,toys,500.0,19.0,11.0,20.0
pIsDRb4xbzyD,watches_gifts,350.0,16.0,14.0,11.0
YwgHNvscHjW0,toys,167.0,17.0,16.0,16.0
i10BtlKMkpvy,toys,442.0,20.0,19.0,17.0
JWWerUz4sUOi,toys,450.0,16.0,21.0,20.0
8IhgV2nH9kXE,health_beauty,700.0,25.0,12.0,19.0
RIeB1nlwkWYV,toys,400.0,29.0,36.0,15.0
S5shnnygPs0S,bed_bath_table,400.0,20.0,20.0,20.0
GntEBdL0e4AR,bed_bath_table,250.0,16.0,15.0,15.0
8o27iVPsjrvn,computers_accessories,200.0,20.0,20.0,20.0
sZ5wMb8HMu6M,toys,300.0,20.0,4.0,18.0
KbN9lsh9uJef,garden_tools,150.0,16.0,2.0,11.0
pG4lRZB6FT1o,housewares,2350.0,25.0,30.0,25.0
6kzsO3fAg0UT,toys,1700.0,20.0,24.0,30.0
Ffe8gTdmyO3U,toys,533.0,22.0,11.0,20.0
uXqtt8FPcOSE,auto,500.0,16.0,5.0,11.0
PWl2yBtu82h0,perfumery,250.0,20.0,8.0,21.0
P7YmM1JrfxgO,computers_accessories,800.0,35.0,12.0,15.0
MnU1humwDAEV,toys,2450.0,41.0,8.0,36.0
ij9mTh09IZhj,toys,2100.0,35.0,9.0,25.0
IxSYqX7LMxEm,toys,4850.0,61.0,15.0,58.0
TKNiFZxm7gs7,toys,350.0,16.0,2.0,20.0
fXpxCuz3DlnE,toys,1350.0,30.0,5.0,20.0
VrCYTXjnNAL1,toys,1100.0,37.0,6.0,27.0
VBy6T8nuWyMy,auto,50.0,17.0,10.0,15.0
KOdBiBN6BdOW,toys,150.0,19.0,10.0,15.0
B8QmdTHBBm2r,toys,600.0,16.0,14.0,14.0
JXxZvMEQwVdy,toys,50.0,17.0,3.0,12.0
GKdOuHdQrcS9,kitchen_dining_laundry_garden_furniture,975.0,41.0,12.0,12.0
pZaSE0Kq83mh,toys,533.0,52.0,6.0,40.0
fF0aIgV1Szz2,toys,17400.0,63.0,58.0,26.0
Dpy0ivGUIZbf,toys,275.0,23.0,11.0,16.0
mLW3e88htVUA,toys,600.0,25.0,10.0,25.0
W11EKjDhLU8S,home_appliances,100.0,18.0,8.0,13.0
oUaq0Emczjrp,toys,175.0,23.0,21.0,21.0
ilTOySUJeryQ,toys,2700.0,60.0,15.0,15.0
cPxHctjb1mwb,toys,150.0,22.0,3.0,15.0
MCpcB88Db8FO,toys,1500.0,45.0,15.0,35.0
VyvqSoUrvQ46,toys,363.0,18.0,13.0,13.0
5p34yHlx2OtC,toys,800.0,42.0,8.0,26.0
hqX5zybakKuo,housewares,800.0,30.0,40.0,30.0
rpc533nr2KMl,toys,850.0,20.0,9.0,14.0
SGGufQjkuu50,furniture_decor,650.0,20.0,35.0,20.0
d77sYHwrvNb6,consoles_games,700.0,26.0,12.0,18.0
MaltNz8KU4y1,bed_bath_table,2650.0,46.0,8.0,38.0
jkF9uiOYSJQv,toys,650.0,28.0,9.0,14.0
HClWJt2zIHqw,toys,4100.0,40.0,37.0,29.0
plejCSAfHfj4,toys,1100.0,20.0,20.0,20.0
8EMcxO7AFhVP,toys,180.0,17.0,10.0,13.0
uhU6v99z0kXK,bed_bath_table,1400.0,40.0,10.0,30.0
4tXRIqqJAw5t,cool_stuff,1650.0,33.0,44.0,19.0
ILJ1czl5oREZ,toys,1092.0,27.0,27.0,23.0
UpBx9hw8qVhN,toys,5450.0,23.0,24.0,23.0
8lFcvo9C9wbB,fashion_bags_accessories,300.0,20.0,10.0,20.0
fdKNYBPuPnsg,toys,250.0,22.0,5.0,15.0
hGtmCHbSVQ4G,furniture_decor,5700.0,40.0,30.0,40.0
p8szMBFqPyIE,housewares,700.0,30.0,30.0,30.0
0Rv9bIApkexA,toys,2050.0,90.0,8.0,15.0
bpqNyuI195P5,toys,100.0,21.0,9.0,13.0
CsjdvHqLmAxc,toys,950.0,16.0,30.0,27.0
ua99TuLWOUSc,market_place,175.0,17.0,10.0,19.0
9d6vkyKPUKTm,toys,10600.0,78.0,4.0,47.0
dAz11YkQkoue,health_beauty,100.0,20.0,15.0,15.0
mVm1INynZf3d,toys,350.0,16.0,25.0,11.0
CpeCg2UGCL6P,toys,250.0,40.0,4.0,30.0
3hr001otfd42,toys,150.0,18.0,20.0,11.0
oGoQE6pH8wMX,toys,300.0,104.0,4.0,20.0
lk149m5QGyX9,health_beauty,1600.0,50.0,16.0,40.0
BGJSKvvLAPkO,toys,325.0,21.0,8.0,17.0
qlb3txU8IQ7W,toys,775.0,34.0,9.0,33.0
H9bNMpRahUKq,toys,1850.0,16.0,10.0,16.0
GkKwbXbTsUcZ,toys,1400.0,43.0,5.0,30.0
KIYt8ODpiQyI,toys,550.0,16.0,7.0,11.0
y2j8hYmi4AVK,housewares,1800.0,30.0,30.0,30.0
n7Cpn4dSlDZn,toys,515.0,39.0,11.0,25.0
tEjoHkDlwfgW,toys,450.0,17.0,3.0,11.0
9RgMq5eVloUQ,toys,1200.0,42.0,25.0,15.0
1gi8qMFFJtiv,watches_gifts,233.0,17.0,11.0,15.0
Rtm1uWckrdIP,toys,950.0,35.0,6.0,45.0
C0ZV4wrnC7a9,home_appliances,4550.0,27.0,13.0,17.0
8EMcxO7AFhVP,toys,180.0,17.0,10.0,13.0
BFpdkwndpvo8,toys,2050.0,60.0,10.0,40.0
Rr4bjc79Exdc,toys,1575.0,26.0,21.0,23.0
ii8N1s7yzFym,toys,10250.0,35.0,50.0,35.0
4VIws8ixtz0J,toys,200.0,25.0,7.0,16.0
p9owG1LeMQyo,toys,2100.0,30.0,24.0,25.0
wdV7yJzaz3Su,toys,4338.0,17.0,12.0,14.0
V538EPE0kKPC,stationery,1500.0,60.0,20.0,29.0
DXG0TFaZjGHO,toys,200.0,16.0,7.0,11.0
Biwi1BNtUB7l,toys,1500.0,30.0,22.0,30.0
diXfR20Ry7N3,computers_accessories,200.0,20.0,15.0,15.0
xd1uzxed845G,toys,9200.0,53.0,52.0,17.0
DwqOXp6wWYBc,toys,300.0,16.0,8.0,11.0
Cjq4di8arIUK,toys,200.0,16.0,16.0,16.0
i3RR3rlzZnM1,computers_accessories,300.0,22.0,5.0,16.0
vMNkrbsMMk0s,toys,300.0,16.0,9.0,11.0
9SSBohAQrOts,toys,700.0,60.0,7.0,11.0
gero47msJAuH,toys,4100.0,20.0,15.0,13.0
cRgyR7JbPIOp,perfumery,100.0,20.0,15.0,15.0
EG4wDSpFyTth,health_beauty,250.0,22.0,10.0,18.0
h0c562VfTzH1,toys,1200.0,30.0,30.0,30.0
m9lIuV6TOthi,toys,517.0,39.0,11.0,13.0
Ycoiqp2LnndQ,toys,250.0,16.0,11.0,11.0
Gvk6GWtgVh4r,toys,887.0,30.0,22.0,20.0
T4RytrhXe0AL,toys,2600.0,36.0,13.0,36.0
THGXRZufUKBc,toys,700.0,16.0,17.0,16.0
cyCC0fkLmcqw,toys,513.0,19.0,15.0,18.0
GvBzGCvvIC2D,toys,1000.0,53.0,8.0,18.0
YNIpoyuyWPht,furniture_decor,7300.0,30.0,20.0,70.0
CiqlffKEv9bE,sports_leisure,13500.0,70.0,30.0,40.0
24AgwBMFEDBG,toys,480.0,18.0,11.0,14.0
3FAOpWw8lQRG,sports_leisure,400.0,70.0,10.0,20.0
y2MAnns4G96G,computers_accessories,207.0,19.0,11.0,14.0
Al1GHLV4kkHl,toys,800.0,39.0,12.0,17.0
5VAqP83HaX5S,telephony,100.0,19.0,3.0,11.0
11o3x3quwlxA,toys,2300.0,98.0,12.0,20.0
TAlgqaCYmIfH,home_construction,1050.0,16.0,20.0,16.0
kqxklO6gqERR,toys,14300.0,45.0,15.0,35.0
MUrEW9uOnc0R,toys,6900.0,74.0,13.0,52.0
cjZ4OtQAYbu8,toys,650.0,20.0,8.0,14.0
FNKIqU40hVPa,sports_leisure,900.0,50.0,6.0,20.0
6zUARqcDy3iI,toys,11500.0,20.0,50.0,28.0
GEteoECKnq9S,toys,575.0,26.0,20.0,32.0
cajdwKq3aeGD,toys,1300.0,30.0,40.0,30.0
6cDVtksZH7KU,,200.0,16.0,2.0,11.0
ffBrVvV1xRMY,housewares,6100.0,20.0,30.0,15.0
UgkSjxoiV9Ev,toys,2600.0,50.0,10.0,30.0
X9sl5gbsIDb6,toys,1825.0,53.0,10.0,40.0
QfIlk7LWi2Lx,toys,7800.0,18.0,18.0,18.0
8Jj1iuFC4uzV,toys,900.0,25.0,25.0,25.0
veULCrfJEcMn,toys,400.0,18.0,12.0,15.0
p4OJVkjqLIYy,toys,1000.0,20.0,12.0,21.0
YK9vqq5pdJfX,toys,4050.0,22.0,37.0,37.0
IzIflSQvLmzI,toys,900.0,32.0,17.0,25.0
Gb2HIDesY0ab,toys,825.0,60.0,8.0,33.0
AbOCavZAHlDU,toys,1100.0,36.0,20.0,20.0
iLdb3g2peSd6,toys,400.0,30.0,15.0,15.0
ipYJ5d8d5OHW,toys,300.0,16.0,10.0,16.0
8J8YIZXGpQkN,toys,5700.0,42.0,21.0,36.0
XVIu4wrydalt,toys,1500.0,16.0,8.0,16.0
ssZQDTdv1ISb,toys,400.0,34.0,4.0,22.0
sqPeHmTzzTXv,toys,600.0,30.0,12.0,12.0
GwAtwuLm3m5l,toys,450.0,40.0,4.0,30.0
71NSrL41eqam,toys,1350.0,45.0,10.0,55.0
1Shu25hw8jmU,sports_leisure,150.0,16.0,16.0,11.0
yRrKrWyMF6HD,toys,525.0,25.0,10.0,35.0
Clpt9JGtOL7P,toys,975.0,37.0,31.0,17.0
UCaDMBHd1vuf,toys,2800.0,40.0,8.0,40.0
ICb4opztefdl,toys,1250.0,49.0,10.0,34.0
w47Os1mXLhR7,toys,1200.0,28.0,5.0,18.0
bIEg5jBI5qCt,office_furniture,16133.0,63.0,59.0,25.0
4mMPfzYGac14,toys,300.0,35.0,5.0,25.0
GvBzGCvvIC2D,toys,1000.0,53.0,8.0,18.0
K35ErlmYxmP3,toys,150.0,17.0,8.0,14.0
Kxzm6htBni1h,electronics,600.0,16.0,11.0,11.0
LqNug3U6tUf0,toys,1310.0,60.0,12.0,24.0
o1t7qs5Pvp0r,toys,100.0,25.0,7.0,16.0
9NwzO0Pm0fDM,toys,1550.0,30.0,22.0,30.0
5ppYQQO7KZYt,toys,125.0,16.0,12.0,14.0
AwMrMN70PjWi,toys,1900.0,105.0,15.0,15.0
MrDnVpqFoLqT,toys,1850.0,45.0,12.0,45.0
mUzVm5ukrxKM,auto,5950.0,65.0,11.0,65.0
1XrebgSC6x8K,toys,16750.0,63.0,58.0,26.0
p7NpuOoJ7D0U,furniture_decor,650.0,25.0,25.0,25.0
CDuJDwStnGwQ,toys,1700.0,20.0,24.0,30.0
PWl2yBtu82h0,perfumery,250.0,20.0,8.0,21.0
EJC58vmKh0JZ,toys,1100.0,30.0,20.0,20.0
9NwzO0Pm0fDM,toys,1550.0,30.0,22.0,30.0
9NwzO0Pm0fDM,toys,1550.0,30.0,22.0,30.0
ad8n5dIJySPi,toys,650.0,16.0,10.0,16.0
DuOTQpA1e2b4,bed_bath_table,2250.0,42.0,16.0,36.0
gbZKFYX43Vp2,toys,2467.0,38.0,15.0,24.0
ePkdyik8Yarq,toys,3950.0,43.0,15.0,32.0
rSIbOvXw0Cpk,toys,5350.0,52.0,6.0,52.0
DXG0TFaZjGHO,toys,200.0,16.0,7.0,11.0
ilsWDSWmR8dX,bed_bath_table,1100.0,50.0,12.0,12.0
xl7fxh09W8xU,toys,4105.0,67.0,10.0,67.0
ZWc6ka4ieCQO,furniture_decor,500.0,68.0,8.0,13.0
Kng7s6klzhxE,toys,450.0,17.0,8.0,12.0
NDXr9BpDHzF7,office_furniture,11880.0,50.0,60.0,27.0
RVYXL9B514r5,housewares,1050.0,30.0,30.0,30.0
sNLeq710SzBt,toys,1000.0,42.0,42.0,14.0
SESkOgF0nWnh,cool_stuff,1600.0,42.0,25.0,15.0
5EFBA7VYOItK,toys,321.0,19.0,14.0,13.0
IkgGn9HxKC7r,toys,550.0,21.0,12.0,20.0
cknJxv19AtA0,toys,300.0,16.0,8.0,11.0
rouH1tejy3SO,toys,1600.0,20.0,60.0,20.0
Ffe8gTdmyO3U,toys,533.0,22.0,11.0,20.0
UgkSjxoiV9Ev,toys,2600.0,50.0,10.0,30.0
hLYCVUs0gvdF,toys,900.0,33.0,9.0,38.0
TVqNHUbZ8q20,toys,1300.0,25.0,25.0,35.0
uYZs9sSZLjJQ,toys,200.0,16.0,2.0,11.0
HhAtKukEU7VT,toys,1867.0,36.0,6.0,36.0
3B3FUMowpX3E,toys,1000.0,40.0,40.0,30.0
RZW9SelPr7Vv,toys,200.0,20.0,10.0,15.0
xdwAamTOt3Ba,toys,4300.0,50.0,20.0,20.0
3yk93DQoQpk3,toys,5000.0,40.0,10.0,40.0
hvWKcEV124VX,toys,15600.0,35.0,46.0,35.0
woP5cZBmcBcI,toys,9800.0,65.0,20.0,45.0
cBzyfbJ9o2Ly,housewares,800.0,16.0,11.0,18.0
qilDjbibfweR,toys,300.0,16.0,2.0,20.0
bJlrTdzo7s1f,toys,27000.0,105.0,18.0,35.0
GvBzGCvvIC2D,toys,1000.0,53.0,8.0,18.0
MXIDpBL8zOVA,toys,1350.0,27.0,9.0,18.0
Tu1BFgu9GnLO,bed_bath_table,1500.0,40.0,15.0,32.0
WVIqmO1Zpio7,auto,16900.0,40.0,30.0,30.0
eESFuzoBJg5E,toys,117.0,18.0,6.0,12.0
V2XI2qJlQyVA,industry_commerce_and_business,7225.0,16.0,103.0,25.0
PaQRmMWcVBvM,toys,1400.0,27.0,10.0,17.0
vZUdZ9QVR7iX,bed_bath_table,550.0,16.0,10.0,16.0
GA7VKY55Ve1s,toys,4850.0,30.0,30.0,20.0
Y3eayqO8aOXQ,toys,850.0,38.0,10.0,38.0
0vbEvli2JYJu,toys,1383.0,50.0,10.0,40.0
Qf3jXDCJPvkJ,toys,350.0,19.0,12.0,13.0
IAwyJkryRk4R,toys,450.0,16.0,10.0,16.0
04VarFqFDG4N,market_place,250.0,18.0,8.0,18.0
vj1Q9kGjOug5,food_drink,200.0,20.0,12.0,15.0
xhOdqDhuh9C3,baby,300.0,42.0,25.0,15.0
ERHVaJoeGFkF,market_place,1300.0,33.0,6.0,22.0
PkSSEEVEqflZ,toys,400.0,20.0,15.0,15.0
