,Country,Player,Team,Base price,Winning bid,Year
0,Guyana,Christopher Barnwell,Royal Challengers Bangalore,30.5,30.5,2013
1,South Africa,Johan Botha,Delhi Daredevils,183,274.5,2013
2,Australia,Daniel Christian,Royal Challengers Bangalore,61,61,2013
3,Australia,Michael Clarke,Pune Warriors India,244,244,2013
4,Australia,Nathan Coulter-Nile,Mumbai Indians,61,274.5,2013
5,Sri Lanka,Akila Dananjaya,Chennai Super Kings,12.2,12.2,2013
6,South Africa,Quinton de Kock,Sunrisers Hyderabad,12.2,12.2,2013
7,Barbados,Fidel Edwards,Rajasthan Royals,61,128.1,2013
8,Australia,James Faulkner,Rajasthan Royals,61,244,2013
9,India,Manpreet Gony,Kings XI Punjab,122,305,2013
10,Australia,Moisés Henriques,Royal Challengers Bangalore,61,183,2013
11,Barbados,Jason Holder,Chennai Super Kings,12.2,12.2,2013
12,Australia,Phillip Hughes,Mumbai Indians,61,61,2013
13,Australia,Ben Laughlin,Chennai Super Kings,12.2,12.2,2013
14,Australia,Glenn Maxwell,Mumbai Indians,122,610,2013
15,New Zealand,Nathan McCullum,Sunrisers Hyderabad,61,61,2013
16,Australia,Clint McKay,Sunrisers Hyderabad,61,61,2013
17,South Africa,Ryan McLaren,Kolkata Knight Riders,30.5,30.5,2013
18,Sri Lanka,Ajantha Mendis,Pune Warriors India,30.5,442.25,2013
19,Sri Lanka,Jeevan Mendis,Delhi Daredevils,30.5,30.5,2013
20,South Africa,Chris Morris,Chennai Super Kings,12.2,381.25,2013
21,Australia,Dirk Nannes,Chennai Super Kings,122,366,2013
22,India,Abhishek Nayar,Pune Warriors India,61,411.75,2013
23,New Zealand,Jacob Oram,Mumbai Indians,30.5,30.5,2013
24,Sri Lanka,Kusal Perera,Rajasthan Royals,12.2,12.2,2013
25,Sri Lanka,Thisara Perera,Sunrisers Hyderabad,30.5,411.75,2013
26,Australia,Luke Pomersbach,Kings XI Punjab,30.5,183,2013
27,Australia,Ricky Ponting,Mumbai Indians,244,244,2013
28,Trinidad and Tobago,Ravi Rampaul,Royal Challengers Bangalore,30.5,176.9,2013
29,Australia,Kane Richardson,Pune Warriors India,61,427,2013
30,New Zealand,Jesse Ryder,Delhi Daredevils,61,158.6,2013
31,Saint Lucia,Darren Sammy,Sunrisers Hyderabad,61,259.25,2013
32,Sri Lanka,Sachithra Senanayake,Kolkata Knight Riders,30.5,381.25,2013
33,India,Pankaj Singh,Royal Challengers Bangalore,30.5,91.5,2013
34,India,R. P. Singh,Royal Challengers Bangalore,61,244,2013
35,India,Sudeep Tyagi,Sunrisers Hyderabad,61,61,2013
36,India,Jaydev Unadkat,Royal Challengers Bangalore,61,320.25,2013
37,Australia,Mitchell Johnson,Kings XI Punjab,200,650,2014
38,South Africa,Jacques Kallis,Kolkata Knight Riders,200,550,2014
39,England,Kevin Pietersen,Delhi Daredevils,200,900,2014
40,India,Virender Sehwag,Kings XI Punjab,200,320,2014
41,India,Yuvraj Singh,Royal Challengers Bangalore,200,"1,400",2014
42,India,Murali Vijay,Delhi Daredevils,200,500,2014
43,Australia,David Warner,Sunrisers Hyderabad,150,550,2014
44,Australia,George Bailey,Kings XI Punjab,200,325,2014
45,South Africa,Faf du Plessis,Chennai Super Kings,150,475,2014
46,Australia,Michael Hussey,Mumbai Indians,200,500,2014
47,India,Dinesh Karthik,Delhi Daredevils,200,"1,250",2014
48,India,Zaheer Khan,Mumbai Indians,100,260,2014
49,New Zealand,Brendon McCullum,Chennai Super Kings,200,325,2014
50,India,Amit Mishra,Sunrisers Hyderabad,200,475,2014
51,Saint Lucia,Darren Sammy,Sunrisers Hyderabad,100,350,2014
52,South Africa,Jean-Paul Duminy,Delhi Daredevils,100,220,2014
53,Australia,Aaron Finch,Sunrisers Hyderabad,100,400,2014
54,Australia,Brad Hodge,Rajasthan Royals,200,240,2014
55,Australia,Shaun Marsh,Kings XI Punjab,200,220,2014
56,India,Cheteshwar Pujara,Kings XI Punjab,150,190,2014
57,Barbados,Dwayne Smith,Chennai Super Kings,150,450,2014
58,New Zealand,Ross Taylor,Delhi Daredevils,200,200,2014
59,India,Manoj Tiwary,Delhi Daredevils,200,280,2014
60,India,Robin Uthappa,Kolkata Knight Riders,200,500,2014
61,South Africa,Quinton de Kock,Delhi Dardevils,100,350,2014
62,India,Naman Ojha,Sunrisers Hyderabad,50,50,2014
63,India,Parthiv Patel,Royal Challengers Bangalore,100,275,2014
64,India,Wriddhiman Saha,Kings XI Punjab,100,220,2014
65,Bangladesh,Shakib Al Hasan,Kolkata Knight Riders,100,280,2014
66,South Africa,Albie Morkel,Royal Challengers Bangalore,150,240,2014
67,India,Irfan Pathan,Sunrisers Hyderabad,150,240,2014
68,India,Yusuf Pathan,Kolkata Knight Riders,200,325,2014
69,Sri Lanka,Thisara Perera,Kings XI Punjab,50,160,2014
70,Australia,Steve Smith,Rajasthan Royals,200,400,2014
71,India,Ashok Dinda,Royal Challengers Bangalore,100,150,2014
72,India,Bhuvneshwar Kumar,Sunrisers Hyderabad,150,425,2014
73,South Africa,Morne Morkel,Kolkata Knight Riders,150,280,2014
74,Trinidad and Tobago,Ravi Rampaul,Royal Challengers Bangalore,50,90,2014
75,India,Mohammed Shami,Delhi Dardevils,100,425,2014
76,India,Ishant Sharma,Sunrisers Hyderabad,150,425,2014
77,Australia,Mitchell Starc,Royal Challengers Bangalore,200,500,2014
78,India,Ranganath Vinay Kumar,Kolkata Knight Riders,150,280,2014
79,India,Umesh Yadav,Kolkata Knight Riders,100,260,2014
80,India,Piyush Chawla,Kolkata Knight Riders,50,425,2014
81,India,Murali Kartik,Kings XI Punjab,100,100,2014
82,Sri Lanka,Muttiah Muralitharan,Royal Challengers Bangalore,100,100,2014
83,India,Pragyan Ojha,Mumbai Indians,200,325,2014
84,India,Rahul Sharma,Delhi Daredevils,50,190,2014
85,Australia,Nic Maddinson,Royal Challengers Bangalore,50,50,2014
86,India,Saurabh Tiwary,Delhi Daredevils,50,70,2014
87,Zimbabwe,Brendan Taylor,Sunrisers Hyderabad,30,30,2014
88,New Zealand,Corey Anderson,Mumbai Indians,100,450,2014
89,Australia,Moises Henriques,Sunrisers Hyderabad,100,100,2014
90,Australia,Glenn Maxwell,Kings XI Punjab,100,600,2014
91,India,Abhishek Nayar,Rajasthan Royals,30,100,2014
92,India,Laxmi Ratan Shukla,Delhi Daredevils,50,150,2014
93,Jamaica,Andre Russell,Kolkata Knight Riders,50,60,2014
94,India,Varun Aaron,Royal Challengers Bangalore,150,200,2014
95,India,Parvinder Awana,Kings XI Punjab,50,65,2014
96,India,Lakshmipathy Balaji,Kings XI Punjab,50,180,2014
97,Australia,Nathan Coulter-Nile,Delhi Daredevils,100,425,2014
98,India,Ashish Nehra,Chennai Super Kings,200,200,2014
99,India,Mohit Sharma,Chennai Super Kings,100,200,2014
100,India,Jaydev Unadkat,Delhi Daredevils,100,280,2014
101,Trinidad and Tobago,Samuel Badree,Chennai Super Kings,30,30,2014
102,Australia,Chris Lynn,Kolkata Knight Riders,50,130,2014
103,India,Yalaka Venugopal Rao,Sunrisers Hyderabad,30,55,2014
104,Australia,John Hastings,Chennai Super Kings,50,50,2014
105,New Zealand,James Neesham,Delhi Daredevils,30,100,2014
106,Australia,Ben Cutting,Rajasthan Royals,50,80,2014
107,Australia,Josh Hazlewood,Mumbai Indians,50,50,2014
108,Australia,Ben Hilfenhaus,Chennai Super Kings,100,100,2014
109,Barbados,Jason Holder,Sunrisers Hyderabad,50,75,2014
110,Australia,Kane Richardson,Rajasthan Royals,100,100,2014
111,New Zealand,Tim Southee,Rajasthan Royals,50,120,2014
112,Australia,Patrick Cummins,Kolkata Knight Riders,100,100,2014
113,South Africa,Wayne Parnell,Delhi Daredevils,100,100,2014
114,South Africa,Marchant de Lange,Mumbai Indians,30,30,2014
115,Jamaica,Krishmar Santokie,Mumbai Indians,30,30,2014
116,New Zealand,Matt Henry,Chennai Super Kings,30,30,2014
117,India,Mayank Agarwal,Delhi Daredevils,10,160,2014
118,India,Srikkanth Anirudha,Sunrisers Hyderabad,20,20,2014
119,India,Baba Aparajith,Chennai Super Kings,10,10,2014
120,India,Unmukt Chand,Rajasthan Royals,30,65,2014
121,India,Kedar Jadhav,Delhi Daredevils,30,200,2014
122,India,Manprit Juneja,Sunrisers Hyderabad,10,10,2014
123,India,Gurkeerat Singh,Kings XI Punjab,20,130,2014
124,India,Manish Pandey,Kolkata Knight Riders,20,170,2014
125,India,KL Rahul,Sunrisers Hyderabad,10,100,2014
126,India,Suryakumar Yadav,Kolkata Knight Riders,20,70,2014
127,India,Vijay Zol,Royal Challengers Bangalore,30,30,2014
128,India,Ankush Bains,Rajasthan Royals,10,10,2014
129,India,Manvinder Bisla,Kolkata Knight Riders,30,60,2014
130,India,Debabrata Das,Kolkata Knight Riders,20,20,2014
131,Australia,Ben Dunk,Mumbai Indians,20,20,2014
132,India,CM Gautam,Mumbai Indians,20,20,2014
133,India,Sushant Marathe,Mumbai Indians,10,10,2014
134,India,Yogesh Takawale,Royal Challengers Bangalore,10,10,2014
135,India,Aditya Tare,Mumbai Indians,20,160,2014
136,India,Iqbal Abdullah,Rajasthan Royals,30,65,2014
137,India,Rajat Bhatia,Rajasthan Royals,30,170,2014
138,Trinidad and Tobago,Kevon Cooper,Rajasthan Royals,30,30,2014
139,India,Rishi Dhawan,Kings XI Punjab,20,300,2014
140,India,Mithun Manhas,Chennai Super Kings,30,30,2014
141,India,Parvez Rasool,Sunrisers Hyderabad,20,95,2014
142,India,Mandeep Singh,Kings XI Punjab,30,80,2014
143,Netherlands,Ryan Ten Doeschate,Kolkata Knight Riders,100,100,2014
144,India,Abu Nechim Ahmed,Royal Challengers Bangalore,30,30,2014
145,India,Jasprit Bumrah,Mumbai Indians,20,120,2014
146,India,Siddarth Kaul,Delhi Daredevils,20,45,2014
147,India,Dhawal Kulkarni,Rajasthan Royals,30,110,2014
148,India,Ishwar Pandey,Chennai Super Kings,10,150,2014
149,India,Prasanth Parameswaran,Sunrisers Hyderabad,30,30,2014
150,India,Sandeep Sharma,Kings XI Punjab,30,85,2014
151,India,Rahul Shukla,Delhi Daredevils,20,40,2014
152,India,Anureet Singh,Kings XI Punjab,20,20,2014
153,India,Shreyas Gopal,Mumbai Indians,10,10,2014
154,India,Shadab Jakati,Royal Challengers Bangalore,20,20,2014
155,India,Shahbaz Nadeem,Delhi Daredevils,30,85,2014
156,India,Pawan Negi,Chennai Super Kings,10,10,2014
157,India,Karn Sharma,Sunrisers Hyderabad,30,375,2014
158,India,Yuzvendra Chahal,Royal Challengers Bangalore,10,10,2014
159,India,Kuldeep Yadav,Kolkata Knight Riders,10,40,2014
160,India,Pravin Tambe,Rajasthan Royals,10,10,2014
161,India,Karun Nair,Rajasthan Royals,10,75,2014
162,India,Apoorv Vijay Wankhade,Mumbai Indians,10,10,2014
163,India,Amit Paunikar,Sunrisers Hyderabad,20,20,2014
164,India,Dishant Yagnik,Rajasthan Royals,30,30,2014
165,India,Akshar Patel,Kings XI Punjab,20,75,2014
166,India,Jalaj Saxena,Mumbai Indians,20,90,2014
167,India,Vijay Shankar,Chennai Super Kings,10,10,2014
168,South Africa,Beuran Hendricks,Kings XI Punjab,30,180,2014
169,India,Vikramjeet Malik,Rajasthan Royals,20,20,2014
170,India,Ronit More,Chennai Super Kings,10,10,2014
171,India,Harshal Patel,Royal Challengers Bangalore,30,40,2014
172,India,Veer Pratap Singh,Kolkata Knight Riders,20,40,2014
173,India,Ashish Reddy,Sunrisers Hyderabad,20,20,2014
174,India,Pawan Suyal,Mumbai Indians,10,10,2014
175,India,Sandeep Warrier,Royal Challengers Bangalore,10,10,2014
176,India,Ankit Nagendra Sharma,Rajasthan Royals,10,10,2014
177,India,Ricky Bhui,Sunrisers Hyderabad,10,10,2014
178,India,Rahul Tewatia,Rajasthan Royals,10,10,2014
179,India,Jayant Yadav,Delhi Daredevils,10,10,2014
180,India,Amit Mishra,Rajasthan Royals,10,10,2014
181,India,Sachin Rana,Royal Challengers Bangalore,20,20,2014
182,India,HS Sharath,Delhi Daredevils,10,10,2014
183,India,Shivam Sharma,Kings XI Punjab,10,10,2014
184,India,Deepak Hooda,Rajasthan Royals,10,40,2014
185,India,Chama Milind,Sunrisers Hyderabad,10,10,2014
186,India,Shardul Thakur,Kings XI Punjab,10,20,2014
187,India,Tanmay Mishra,Royal Challengers Bangalore,10,10,2014
188,India,Sayan Sekhar Mondal,Kolkata Knight Riders,10,10,2014
189,India,Karanveer Singh,Kings XI Punjab,10,10,2014
190,India,Milind Kumar,Delhi Daredevils,10,10,2014
191,Australia,Michael Hussey,Chennai Super Kings,150,150,2015
192,India,Irfan Pathan,Chennai Super Kings,150,150,2015
193,India,Rahul Sharma,Chennai Super Kings,30,30,2015
194,South Africa,Kyle Abbott,Chennai Super Kings,30,30,2015
195,Australia,Andrew Tye,Chennai Super Kings,20,20,2015
196,India,Pratyush Singh,Chennai Super Kings,10,10,2015
197,India,Ankush Bains,Chennai Super Kings,10,10,2015
198,India,Eklavya Dwivedi,Chennai Super Kings,10,10,2015
199,India,Yuvraj Singh,Delhi Daredevils,200,1600,2015
200,Sri Lanka,Angelo Mathews,Delhi Daredevils,150,750,2015
201,India,Zaheer Khan,Delhi Daredevils,100,400,2015
202,India,Amit Mishra,Delhi Daredevils,10,350,2015
203,India,Shreyas Iyer,Delhi Daredevils,10,260,2015
204,Australia,Gurinder Sandhu,Delhi Daredevils,30,170,2015
205,India,Jaydev Unadkat,Delhi Daredevils,50,110,2015
206,India,Domnic Joseph,Delhi Daredevils,10,75,2015
207,South Africa,Albie Morkel,Delhi Daredevils,30,30,2015
208,Australia,Marcus Stoinis,Delhi Daredevils,20,25,2015
209,India,CM Gautam,Delhi Daredevils,20,20,2015
210,India,Srikar Bharat,Delhi Daredevils,10,10,2015
211,India,KK Jiyas,Delhi Daredevils,10,10,2015
212,India,Murali Vijay,Kings XI Punjab,50,300,2015
213,India,Nikhil Naik,Kings XI Punjab,10,30,2015
214,India,Yogesh Golwalkar,Kings XI Punjab,10,10,2015
215,India,KC Cariappa,Kolkata Knight Riders,10,240,2015
216,New Zealand,James Neesham,Kolkata Knight Riders,30,50,2015
217,Australia,Brad Hogg,Kolkata Knight Riders,50,50,2015
218,India,Aditya Garhwal,Kolkata Knight Riders,10,25,2015
219,India,Sheldon Jackson,Kolkata Knight Riders,10,15,2015
220,India,Sumit Narwal,Kolkata Knight Riders,10,10,2015
221,India,Vaibhav Rawal,Kolkata Knight Riders,10,10,2015
222,Australia,Aaron Finch,Mumbai Indians,100,320,2015
223,India,Pragyan Ojha,Mumbai Indians,50,50,2015
224,India,Abhimanyu Mithun,Mumbai Indians,30,30,2015
225,New Zealand,Mitchell McClenaghan,Mumbai Indians,30,30,2015
226,Australia,Aiden Blizzard,Mumbai Indians,30,30,2015
227,India,Hardik Pandya,Mumbai Indians,10,10,2015
228,India,Akshay Wakhare,Mumbai Indians,10,10,2015
229,India,Nitish Rana,Mumbai Indians,10,10,2015
230,India,Siddhesh Lad,Mumbai Indians,10,10,2015
231,India,Jagadeesha Suchith,Mumbai Indians,10,10,2015
232,South Africa,Chris Morris,Rajasthan Royals,50,140,2015
233,South Africa,Rusty Theron,Rajasthan Royals,30,30,2015
234,India,Barinder Sran,Rajasthan Royals,10,10,2015
235,India,Dinesh Salunkhe,Rajasthan Royals,10,10,2015
236,India,Sagar Trivedi,Rajasthan Royals,10,10,2015
237,India,Pardeep Sahu,Rajasthan Royals,10,10,2015
238,India,Dinesh Karthik,Royal Challengers Bangalore,200,1050,2015
239,Saint Lucia,Darren Sammy,Royal Challengers Bangalore,100,280,2015
240,South Africa,David Wiese,Royal Challengers Bangalore,30,280,2015
241,Australia,Sean Abbott,Royal Challengers Bangalore,50,100,2015
242,New Zealand,Adam Milne,Royal Challengers Bangalore,30,70,2015
243,India,Sarfaraz Khan,Royal Challengers Bangalore,10,50,2015
244,India,Subramaniam Badrinath,Royal Challengers Bangalore,30,30,2015
245,India,Jalaj Saxena,Royal Challengers Bangalore,10,10,2015
246,India,Shishir Bhavane,Royal Challengers Bangalore,10,10,2015
247,New Zealand,Trent Boult,Sunrisers Hyderabad,50,380,2015
248,India,Praveen Kumar,Sunrisers Hyderabad,50,220,2015
249,England,Kevin Pietersen,Sunrisers Hyderabad,200,200,2015
250,England,Eoin Morgan,Sunrisers Hyderabad,150,150,2015
251,England,Ravi Bopara,Sunrisers Hyderabad,100,100,2015
252,New Zealand,Kane Williamson,Sunrisers Hyderabad,50,60,2015
253,India,Laxmi Ratan Shukla,Sunrisers Hyderabad,30,30,2015
254,India,Padmanabhan Prasanth,Sunrisers Hyderabad,10,10,2015
255,India,Hanuma Vihari,Sunrisers Hyderabad,10,10,2015
256,India,Siddarth Kaul,Sunrisers Hyderabad,10,10,2015
257,England,Kevin Pietersen,Rising Pune Supergiant,200,300,2016
258,Barbados,Dwayne Smith,Gujarat Lions,50,230,2016
259,India,Ishant Sharma,Rising Pune Supergiant,200,380,2016
260,Australia,Shane Watson,Royal Challengers Bangalore,200,950,2016
261,India,Ashish Nehra,Sunrisers Hyderabad,200,550,2016
262,India,Yuvraj Singh,Sunrisers Hyderabad,200,700,2016
263,South Africa,Dale Steyn,Gujarat Lions,150,230,2016
264,India,Sanju Samson,Delhi Daredevils,200,420,2016
265,England,Jos Buttler,Mumbai Indians,150,380,2016
266,India,Dinesh Karthik,Gujarat Lions,200,230,2016
267,India,Irfan Pathan,Rising Pune Supergiant,100,100,2016
268,South Africa,Chris Morris,Delhi Daredevils,50,700,2016
269,New Zealand,Colin Munro,Kolkata Knight Riders,30,30,2016
270,India,Stuart Binny,Royal Challengers Bangalore,200,200,2016
271,Australia,Mitchell Marsh,Rising Pune Supergiant,200,480,2016
272,India,Dhawal Kulkarni,Gujarat Lions,200,230,2016
273,Australia,John Hastings,Kolkata Knight Riders,100,130,2016
274,India,Praveen Kumar,Gujarat Lions,50,350,2016
275,New Zealand,Tim Southee,Mumbai Indians,100,250,2016
276,India,Mohit Sharma,Kings XI Punjab,150,650,2016
277,Barbados,Carlos Brathwaite,Delhi Daredevils,30,420,2016
278,Australia,Marcus Stoinis,Kings XI Punjab,30,55,2016
279,Bangladesh,Mustafizur Rahman,Sunrisers Hyderabad,50,140,2016
280,India,Jaydev Unadkat,Kolkata Knight Riders,30,160,2016
281,South Africa,Kyle Abbott,Kings XI Punjab,30,210,2016
282,India,Barinder Sran,Sunrisers Hyderabad,50,120,2016
283,India,Abhimanyu Mithun,Sunrisers Hyderabad,30,30,2016
284,India,R. P. Singh,Rising Pune Supergiant,30,30,2016
285,Australia,Travis Head,Royal Challengers Bangalore,30,50,2016
286,India,Sachin Baby,Royal Challengers Bangalore,10,10,2016
287,India,Karun Nair,Delhi Daredevils,10,400,2016
288,India,Paras Dogra,Gujarat Lions,10,400,2016
289,India,Ishan Kishan,Gujarat Lions,10,35,2016
290,India,Rishabh Pant,Delhi Daredevils,10,190,2016
291,India,Eklavya Dwivedi,Gujarat Lions,20,100,2016
292,India,Aditya Tare,Sunrisers Hyderabad,20,120,2016
